linkedin_url,job_title,company,company_linkedin_url,location,posted_date,applicant_count,job_description,benefits
https://www.linkedin.com/jobs/view/3867999935/?eBP=CwEAAAGOnv4mGr9Mo1QvY0Fx6yBaWaiH7zehDkoXtghBIT1fECqqyP0DqLgC3AZUVYaD6u83co45Q90rg8VsaSI1bcS0ReVC5KqS2ILsmVrmwnw1hEBgVodRJaVpR-tUlLTrKOLNJ6etTUyFjZrO8N9qr94TKG3k7wjy5_RD9HmXLPoEMCSuOhtxOErtzhd_auiiNZ26akoj61LM-S1l03mYwkA6b5aUBHJLqjusb9OH2b3euex1snC_iJB-teHWTDBDVQtAipFwUbu-ECRyqOxUh-8UnxWRpfKOH5vzWLuFtBtEM9ptdEAotwWh3q6spFfEQkNU9zztfepc_MoDZOPaVAGGX7cZgQOCB8_hjPOcAvf8JRb0C0GHlSEx5DjFxc8PcTZ9k-gxy5ezIoAGpM2e32Xnxvm4xvNn9mCUsCsMJtvUvguB2zRr1Kg&refId=wXv0KHF%2FQdC0OtQjBKJ2LA%3D%3D&trackingId=ZMWKL9KzY3blZvsAFKl%2Bdg%3D%3D&trk=flagship3_search_srp_jobs,Deep Learning Algorithm Engineer,Jubaan,,"Yoqneam Illit, North District, Israel (On-site)",1 week ago,Over 100 applicants,"About the job
Job description

About the job
Interested in joining the world of breakthrough diagnostic tools?
Jubaan is looking for a Deep-learning Algorithm Engineer to join our team.

Jubaan is a medical device startup headquartered in Yokneam. We predict the unpredictable by using Artificial Intelligence and electro-optics technologies, to develop a life-saving medical product that predicts gastro-pathologies by methods of imaging, image processing, computer vision, and Deep Learning.

The position
We are seeking a curious Deep Learning Engineer to join our company, to develop the core algorithms of our product.

We offer you a position where you will be able to express your creativity and demonstrate initiative in design and implementation of various AI algorithms for the next big thing in the medical world.

Responsibilities
Develop recognition algorithms end to end – from concept, through data engineering, to training and validation.
Use the latest deep learning and data science techniques.
Cooperate with other team members.

Requirements
MSc Computer Science/ Electrical Engineering/ Mathematics/ Physics or similar
Minimum of 2 years of experience in hands-on research and development of Deep Learning algorithms for computer vision
Creative thinker with a proven ability to innovate through data exploration and application of non-trivial solutions
Good communication skills, ability to clearly explain complex concepts
Self-motivated, proactive, flexible, and passionate about learning

Advantages
Experience with deploying Deep Learning algorithms on edge devices, for example using NVIDIA TensorRT or other deep learning inference optimization libraries",
https://www.linkedin.com/jobs/view/3822331679/?eBP=CwEAAAGOnv4mGmidfQpTKFdC7_OtxbqUwg2cieUU7tQW3s8Yw3reKJO9RbXXYG90q99JmDiMZdwvJYAJF8Xor31HKEilg2xA_fHYezlbivy8vm_0jRIxQ7Pa0ukmWeN8lSQV6WwC8I27epAh4J9mChhG5wEvQaZYdrlzToHTubsYQl2MleFawEaZiIHTiDoC_3TEFzzE2jMnB21QVw5lar92tbxLQiihgDeQheSsR8kwrT9p8lVtYxIMV1IeWWyDoDGcP8lIJOp4TjwaPJ0tKK-PdCLBtIwLM_d-NCQLtUqiaL3H4FKLnN1mnWi-EBWraIhrAmsnlo9vOjOWzzQH7UlN8_Q50DESv2kIT2OIRmcnZFi9jx_DSrquOsfohuXz_5FOV8tbx11tVIHuxXqfypkBOSFl64ijcF20ft1B7Rod5tNhLezEj3Vl22w&refId=wXv0KHF%2FQdC0OtQjBKJ2LA%3D%3D&trackingId=fAhOEpbZAi%2BbseetVtNh6Q%3D%3D&trk=flagship3_search_srp_jobs,Senior Data Engineer,YOUTILIGENT,,"Tel Aviv-Yafo, Tel Aviv District, Israel (Hybrid)",1 month ago,Over 100 applicants,"About the job
Company Brief:
YOUTILIGENT is a small and dynamic startup based in Tel Aviv developing an AIoT solution to reinvent professional equipment management. Today, YOUTILIGENT has a foothold in the European food retail market promising us strong opportunities and fast growth.

Role Description:
We're looking for a key R&D team player, responsible for planning and developing the main building blocks, processes and mechanisms of Yotiligent’s analytical platform. One that will use programming experience, cloud capabilities, and ML models knowledge to build data-driven business applications.

We look for:
Senior backend & ML developer with at least 6 years of hands-on experience
Vast Python programming experience and high design capabilities
Strong analytical, problem-solving, communication and teamwork skills
Experience with databases, big data processing, and ML pipelines
Experience working with ML frameworks and libraries
Experience with GCP or AWS is an advantage
B.Sc. in computer science, mathematics or a related degree
Fluent in English, both spoken and written",
https://www.linkedin.com/jobs/view/3872774893/?eBP=CwEAAAGOnv4mGrot48_cKkTY4I_mnWrVEnB1cUUQKI9nv1XAuSpxecZ3fzmH7jYlIdLSvGbYjqWuAFEzxVddWCz9X7mcsXl4oFpTcELOslbEiGemStIM_LCCTKnEYjbO3VtsrB7fwemsI2qEiBmDsOxKMvHNgTZv38apveSTHYVPbK29lKqFhCGykJFF2RD__uKjLBcg2d02JqEJEKueuYD-4W93hAJxtsC6SnShs9KVGSjWykbBuAXZscltPoUdThdVEuJyWDdW89SDmbWGmauCvZupXgrwhhcuusQmoWlV-cikKUqMeUxVvdRk4sJiuCI_binjEB2i_Njdxv59uu0dlHGroRyMwwLpo-H7oZ63fN0SB8_I5FkwOB3oTT9CSiGjapTWLzC5g8iB9mAgKvFkKqQPPUstvkwNoE4jHokLUQyEY3JxxeX6NPg&refId=wXv0KHF%2FQdC0OtQjBKJ2LA%3D%3D&trackingId=aCfc8LxbWNrGotvwNNOHrQ%3D%3D&trk=flagship3_search_srp_jobs,Lead Machine Learning Engineer,Gengmak,,"West Jerusalem, Jerusalem District, Israel (Remote)",4 days ago,35 applicants,"About the job
About Us
Gengmak is focused on providing access to affordable and sustainable financial services for people in ASEAN. Headquartered in Malaysia, we are the largest insurance portal in Southeast Asia. Our main portal helps millions find the insurance policy with the best value and highest coverage for them. Our investments in technology such as Custom API, blockchain, trading systems and data science is to enable easy access to financial services that were previously inaccessible or difficult to understand.

Our core strengths are in navigating the most complex regulations and environments, creating some of the most innovative products in the world. For instance, we are the first platform globally to simplify and offer investment-linked life and health insurance online, coupled with an instant talk-to-agent service.

If you enjoy building cutting edge platforms and ecosystems to give equal access to financial services for the masses - Speak to us.

Lead Machine Learning Engineer
As the Lead Machine Learning Engineer, you will play a pivotal role in shaping the future of our AI-driven products. You will lead a talented team of machine learning engineers, data scientists, and researchers to design, develop, and deploy machine learning models and algorithms that solve complex problems and enhance our products.

Key Responsibilities:
Lead and mentor a team of machine learning engineers and data scientists, providing technical guidance and support.
Collaborate with cross-functional teams, including product managers and software engineers, to identify AI opportunities and integrate machine learning solutions into our products.
Design, develop, and implement machine learning models and algorithms that address business challenges and improve user experiences.
Lead research efforts to explore and implement state-of-the-art machine learning techniques and technologies.
Manage the end-to-end machine learning lifecycle, from data collection and preprocessing to model training, evaluation, and deployment.
Drive data-driven decision-making by leveraging data analytics and visualization tools.
Stay current with the latest developments in machine learning and AI and share knowledge with the team.
Ensure the security, scalability, and efficiency of machine learning solutions.

Requirements: 
Demonstrated expertise in creating or implementing machine learning models for categorization and labeling.
Proficiency in at least one programming language, such as Python, Go, C++, Java, or similar.
Exceptional written and spoken English communication skills, with a strong commitment to collaborating effectively with individuals from diverse cultural and linguistic backgrounds.
Self-driven, quick to adapt, and a valuable asset to collaborative teams

Benefits
Do something meaningful; Be a part of the future of finance technology and the no.1 company in the industry!
Fast moving, challenging and unique business problems
Attractive remuneration and performance incentives
Strong learning and development plans for your career growth
Easy to locate area with direct access to public transport
Be coached and mentored by experts in your field
International work environment and flat organization
Competitive salary
 Hybrid working arrangements
Flexible working hours & arrangement, Casual work attire",
https://www.linkedin.com/jobs/view/3872778364/?eBP=CwEAAAGOnv4mGqYt04qt5WQOURVUIdHYfODjky_5lqlkJb-hHvkwWi87QlaRA-Dfk00Mhd3c4azaLjmfB2TkQR0p6zf8j-Qq8jGF1QRRO6GtHDXKTIJrhRniHxKmBmiMzRzvU6DDU5y8cPVJjtQhZEXpzrKeRKfeZp3KxyHCsatYrGpSnZN92_XKAeU_g1zIr-gk73tkrlvCLk0L-rsZk6MUKFT4nghyGhnD3q-V5ENLPP1nS9ypUQVVV0aOiZj-vYuMf3Qf3qUJ18IeZimURpakJhIrfyrRy04RFqSrOXp5tjaLEdl1GIgs0oNcGepGHj03TPxAhV5D-w6Q3E6SiDdeI98_P0qYzPodW9HUB4mjwbDMrZaq4jpAvO5WXmg-7ps04a9R_nGOXYbiHqzZB5fN8dAaMiyMhR6Hq4Y4NDyoy8u6IhNktX6R-Yzewg&refId=wXv0KHF%2FQdC0OtQjBKJ2LA%3D%3D&trackingId=qIApVBtmHz0RkRpFzAYV6w%3D%3D&trk=flagship3_search_srp_jobs,"Team Lead, Machine Learning Developer",Gengmak,,"West Jerusalem, Jerusalem District, Israel (Remote)",3 days ago,32 applicants,"About the job
About Us

Gengmak is focused on providing access to affordable and sustainable financial services for people in ASEAN. Headquartered in Malaysia, Gengmak is the largest insurance portal in Southeast Asia. Our main portal helps millions find the insurance policy with the best value and highest coverage for them. Our investments in technology such as Custom API, blockchain, trading systems and data science is to enable easy access to financial services that were previously inaccessible or difficult to understand.
Our core strengths are in navigating the most complex regulations and environments, creating some of the most innovative products in the world. For instance, we are the first platform globally to simplify and offer investment-linked life and health insurance online, coupled with an instant talk-to-agent service.
If you enjoy building cutting edge platforms and ecosystems to give equal access to financial services for the masses - Speak to us.
Job Overview 
As the Team Lead, Machine Learning Developer, you will play a pivotal role in shaping the development of machine learning solutions. You will lead a talented team of machine learning engineers and data scientists, collaborating with cross-functional teams to design, develop, and deploy AI models that solve complex challenges and drive business success.

Key Responsibilities:

Lead and guide a team of ML engineers and data scientists, supporting their growth.
Collaborate with product managers, software engineers, and stakeholders to spot AI opportunities and turn them into projects.
Create and implement innovative ML models and algorithms.
Oversee the complete ML process, from data collection to deployment.
Keep up with the latest ML and AI developments and apply best practices.
Utilize advanced analytics and visualization for data-driven decisions.
Ensure the security, scalability, and efficiency of ML solutions.
Conduct research to integrate cutting-edge ML techniques.

Requirements
Requires a Master or Bachelors degree in Data science or equivalent work experience.
Minimum 5 years experience in professional data science/AI Engineer position is a must.
Proven experience leading successful machine learning and data science projects.
Proficiency in machine learning tools like TensorFlow, PyTorch, and Python.
Expertise in data preparation, feature engineering, and model evaluation.
Strong programming skills in Python or similar languages.
Knowledge of deep learning, natural language processing, or computer vision is a plus.
Exceptional problem-solving and critical-thinking abilities.
Strong leadership, communication, and teamwork skills.
Passion for staying updated on AI and ML advancements.

Benefits
Do something meaningful; Be a part of the future of finance technology and the no.1 company in the industry!
Fast moving, challenging and unique business problems
Attractive remuneration and performance incentives
Strong learning and development plans for your career growth
Easy to locate area with direct access to public transport
Be coached and mentored by experts in your field
International work environment and flat organization
Competitive salary
Hybrid working arrangements
Flexible working hours & arrangement, Casual work attire",
https://www.linkedin.com/jobs/view/3788670762/?eBP=CwEAAAGOnv4mGosyzQaol8qxEPt7X4bxYiN7XhK0Q3l-b0b75ELBHbb2bKn-wig2Wq8osOS5LAY91XUsoczRFX66dw0jjfcSHdEtx-56tjZTgJZOGIolZEbVCQRbwbJarghML_sR1JpHUR_s-WA8zI6y4ODbbK6D_sEsDoN3YXrMXOrUjHmlVsQNyKJIKdWM5cwiuLJAyppqGJzb2NmUuAcZrymWN3zXG5Xl0NQK-_9GAw10p3hpDJX-GnaW5nKIdkIpVgcrQIiPldRDi2skWNIETR0_GPEBtXKHvHORoxVg0PndC9RN2_QDwPn1D7bRy-yyxTlQl9WV89qReN8aNaiSt6Qf3QZG2qFQ6auJ9l_PonpGx4RniU_LfAO4ojc1baEWAThe6dvr_bXEVEEyJWfsqgFp_vKga_4AQNqj7cqUly5aV1g_wUAo3eZd3Q&refId=wXv0KHF%2FQdC0OtQjBKJ2LA%3D%3D&trackingId=tspYJnZku1KlLW8rsUrPmA%3D%3D&trk=flagship3_search_srp_jobs,Senior Data Engineer,Addressable.io,,"Tel Aviv-Yafo, Tel Aviv District, Israel (On-site)",3 months ago,Over 100 applicants,"About the job
What’s Addressable?
We are a well-funded cool startup on a mission to supercharge Web3 marketers! Our proprietary solution merges blockchain and social media data, enabling marketers to craft highly targeted Web3 audiences advertising to these audiences across Web2 and social media platforms, while our optimization engine maximizes campaign effectiveness and conversions, setting a new industry standard. 

So, what’s the job?
We are looking for a Senior Data Engineer to join our Engineering Team. You will play a crucial role in designing, developing, and optimizing data pipelines for blockchain and social data along with developing backend ETL infrastructure for our flagship product.
You will:
be a key player in architecting and implementing Addressable’s data pipelines.
Lead the end-to-end design of ETLs, data structure, database ingestion and management from the architectural phase through development to deployment in production.
Contribute to Addressable’s real-time analytics product on our extensive data lake of blockchain and social data.
Use a diverse technology stack. Our current stack contains mainly: Python, MongoDB, AWS Athena, Apache Iceberg, StarRocks, Postgres and more.
Success in this role will be measured by your ability to independently oversee processes from start to finish, collaborate effectively with team members, deliver rapid and well-tested features, and contribute significantly to our overall business achievements.

Sounds great! Am I the right fit?
Well, you have a good chance of fitting right in if you check as many of these as possible:
At least 4 years of experience in data infrastructure, big data, and data engineering.
Proficiency in Python, with the ability to effectively use it for data manipulation, analysis, and pipeline development in a large-scale data environment.
Proven experience working with NoSQL and SQL database technologies such as Postgres, MongoDB
Knowledge of working with Real time analytics databases such as Clickhouse, Apache Druid, Firebolt, SingleStore, StarRocks or equivalent used for BI solutions
Experience in working with Linux environments
Proven experience in building and deploying code in production environments
Cloud computing experience (AWS, GCP, Azure, or similar).
A highly motivated and results-driven self-starter, with strong organizational skills and attention to detail. You should be able to learn independently and thrive in a high-paced environment.

*Position located in Tel-Aviv, Israel, hybrid mode.",
https://www.linkedin.com/jobs/view/3838579168/?eBP=CwEAAAGOnv4mGhBxD9mqvG0fhwNpGhxFnaCASZBZ3IvIRCMYWWscQWQX37DMa_WHofy1NybYgzhApU1wryjvAdfHFFRi4DCd9Wkgg9XMozeXiCOs8qcta5MnDhqrt3YUe_Z-rBkiPQqFpXIFKhDYCqGYda_hnXaDiyNZCRyE5vx3-edWq3r-VHdvXTgpQ1PiUA0ViSe4TE0zZhCToYqDrctSIFSVrCKYELRQSmw0ZlhJ8eZBvKf21vSfq8_9cTOzpvdYwoRYAd0z5r8LYXJNmCUMgtl225YIaXUXdoYwOJcTaPOFfTKdnG_sjBDH0yQngij5dLw6BkUgfD0adLZRHm6p0wwQPBXNAPAz9ZlimWh0bPHIXrC9R6R0K7EB0NlbGTIdEUuxqv6LVJ1m68Mw9jcn7fX-dFWe&refId=wXv0KHF%2FQdC0OtQjBKJ2LA%3D%3D&trackingId=X3IPjtbM5%2BmJ7ms165YKaQ%3D%3D&trk=flagship3_search_srp_jobs,Senior Machine Learning Engineer,Anyword,,"Tel Aviv-Yafo, Tel Aviv District, Israel (On-site)",Reposted 6 days ago,Over 100 applicants,"About the job
We’re on a mission to revolutionize how marketers, writers, and innovators create their marketing content.
With tools like ChatGPT 🤖 taking the world by storm, it’s clear that the spotlight is now shining on the Generative AI space. However, its ultimate hurdle is now a self-compounding problem: with infinite options for messaging now available to all marketers… how do we know what will actually work?
Your words matter, and Anyword was built to ensure that they resonate. Since 2021, we’ve been building a platform to help both the world’s largest brands and its next rising stars actually move, inspire, and drive their audiences forward.
In reality, we’ve removed the uncertainty of writing performance copy, and are the first to bring copy intelligence into play. We’ve combined our own language models, predictive analytics, custom AI, and branding-specific tools to help brands rise above the noise in ways they couldn’t before.
We’ve built the brain behind all marketing messaging, no matter where it lives and how you create it (with AI or not). And now we’re looking to you to help change the world with us!

Our supporters and believers
Marketers and writers create their best, record-setting work across companies like Amazon, Red Bull, the New York Times, Ted Baker, Sony, and more.
Just this month, we’ve crossed 1,000,000 active users on the Anyword platform.
We’re also backed by Innovation Endeavors, founded by former CEO of Google, Eric Schmidt, and Dror Berman. In 2022, we raised our Series B for $21 million and are on track to continue significant growth across all parts of our business.
With 2,000+ new sign-ups to our platform every day, our momentum is only growing. You’ll have an opportunity to directly impact where we are headed as a company.

What we’re looking for
We are looking for a senior machine learning engineer with a passion for developing production-grade software services and for solving interesting problems using Large Language Models (LLMs), data and creative thinking. As part of Anyword’s NLP team, reporting to the CTO, you will work closely with other engineers, scientists, and product managers on making Anyword’s marketing language engine the best of its kind.

Responsibilities
Extend, optimize, scale and maintain Anyword’s LLM-based inference engines.
Analyze, process, and facilitate the derivation of insights from our ever-growing data resources.
Work on applied ML/NLP research projects solving challenging problems by fine-tuning LLMs, prompt engineering and using the best data and latest tools for the job.

Qualifications
BA or BS degree in Computer Science.
2+ years experience as a software engineer developing production grade systems.
2+ years experience in Python development.
Experience as an ML/NLP engineer with modern ML frameworks like PyTorch and/or LLM APIs like OpenAI’s GPT. Or: MSc/PhD in Computer Science with a focus on ML/NLP.
Comfortable working in a fast-paced, dynamic work environment.
Dependable, gets the job done.
An excellent team player.
Advantage: High proficiency in English.",
https://www.linkedin.com/jobs/view/3860167148/?eBP=CwEAAAGOnv4mGgcsEs41W_VmFLltPtYT-mfOxHLcgTh5oT0mcb5KnDUE2MkqaOiXWUxcL3G04W0ow5JLOf8qyVX88aaOB9XDcliv7k-yVQpIJLOd04x06GBjMHPSNWXAyJwT9zKbuwLYhKSFVuAUzhL2o8olMyeuBl1EtMmoIze061N8v3xkIObkBk5h0WuE1SQVATjwt4FzqnP6bTwgdqY_tFN3Z8KAySmGMIOb4yX_DRXe3LiLSoKBbEuGcL6LgVNvt2Q12VdevI6FvG8JG06bo187o9WKg6VQBErGoCiBj_8-bdhmACsRWrsPMFCH1JWolShnVYmFv0CqJ0bVLvMtWLqjHLsIPC-kM8MpZj_A4GckaHh92CYPqjqKTfA_haWlZwO1r-dNl5g1atwMSey14AUqLwrLFW56ejQkfLYEfmNKmdPra4Hv_tgD&refId=wXv0KHF%2FQdC0OtQjBKJ2LA%3D%3D&trackingId=7cOU0UjM8XBQVHSEK3GUxg%3D%3D&trk=flagship3_search_srp_jobs,Senior Algorithm Engineer,EM Ventures,,"Kiryat Ono, Tel Aviv District, Israel (On-site)",2 weeks ago,78 applicants,"About the job
EM Ventures is an emerging algorithmic trading firm specializing in high-frequency trading and low latency systems. We're looking for a Senior Algorithm Engineer who will be instrumental in shaping the company's future. 

What you'll be doing 
You will be part of company leadership and have a significant role in directing the company's resources and focus. You will lead the algorithm research team working on new trading strategies and methods, and take part in recruiting, on-boarding, and day-to-day management for future employees. 

Using machine learning, data science and statistical modeling the team will aggregate and analyze big datasets on the global financial markets, seeking to uncover patterns and understand the complexities of market dynamics on both the macro and micro scales, transforming research results into profitable trading strategies.

You will work closely with the real-time engineering team to integrate, optimize and deploy new strategies into our production systems. 

What you'll need 
M.Sc. in mathematics / physics / engineering / statistics, or another related field; Ph.D. - an advantage 
Ability to quickly grasp complex subjects, work independently, and take initiative 
7+ years of professional experience in algorithm research, data science and statistical modeling
5+ years of professional experience in deep learning and predictive analysis
Strong proficiency in Python and relevant machine learning tools
Basic familiarity with software development practices (revision control, peer review, etc.) ",
https://www.linkedin.com/jobs/view/3862311451/?eBP=CwEAAAGOnv4mGurdVJ5_EozQ_PpHlFtYjQ_bXo5IM-rDfz2_PcltA6ZQyrCzAIlAogyOJ0haOOREbR-E1IbSFRljitvNj0chObgk0jUMpYxI4W1NmSj9jQzspQFkRr2xjBXa8C8wz0Y_m4T5Efgu1RSzwdaKVOp1qh9dat-4Aew8RlCs_R7WLdqWzjDnfM7V5YQO8UWwX5bvmsVQrs7W0XNSEnzrO95DW7aIGNBwhYerGYnTeIpjKZlLHjYUDZZmGWNtPQ_vCocHMcZRRDQSYtePxFGvi0TtdmP5OsUqRvWZMoLc_jjF0etTjD75B_GhPol0N19AIgajc0D118AslUHXxrxkwe3VnzuqHQPEWxzulMeq40M23eRVwCPrbkZL9gSTtM-oiowFdDY0mAwK30VvWohGTBdQIuk&refId=wXv0KHF%2FQdC0OtQjBKJ2LA%3D%3D&trackingId=9eBChGrpx8K9ziA3RB4RxA%3D%3D&trk=flagship3_search_srp_jobs,Machine Learning Engineer (Technical Leader),LIQUiDITY Group,,"Tel Aviv District, Israel (On-site)",2 weeks ago,49 applicants,"About the job
Liquidity Group is the largest tech-enhanced financial asset management firm in the world. With $2.5B AUM across funds focused on North America, Asia-Pacific, Europe, and the Middle East, Liquidity Group operates globally with offices in Tel-Aviv, Abu Dhabi, New York, London, Singapore, Tokyo, Mumbai, Boston & San Francisco. The firm’s patented machine learning and decision science technology enables it to deploy more capital through more deals faster than any firm in capital markets history, establishing it as the fastest-growing provider of non-dilutive and equity financing to mid-market and late-stage companies. Liquidity Group is backed by leading global financial institutions including Japan’s largest bank, MUFG, Spark Capital, and Apollo Asset Management.


We are looking for a Machine Learning Engineer to join our team as a Technical Lead. The Technical Lead will be integral to the data science feature development process, working with data engineering. You will design machine learning pipelines, apply algorithms to generate predictions, tackle data set challenges, and develop the first-ever, real-time corporate credit score platform. This isn't just another job; you'll be a key part of an exciting, experienced team in a fast-paced environment. This position does not involve managerial duties but rather entails leading technically.


You will:

Architect and engineer prompts for various AI models, including LLMs, to generate accurate and actionable outputs for security automation tasks.
Build forecasting/prediction models from scratch (POC) to production-ready
Work closely in aligning the product, research, and development teams in crafting the product, increasing product effectiveness
Collaborative mindset to improve the AI team, communicate with stakeholders, and shape research vision.
Take a critical role in the research process for finding the best market solutions for defined business problems
Guide the R&D team and product teams 


You have:
5+ years of hands-on experience in engineering with Python
Strong analytical and problem-solving skills to navigate the complexities of AI and LLM integration - A must.
Degree in Computer Science, Physics, Mathematics, or equivalent experience
Profound analytical skills and true love for data
PhD/MSc in exact sciences - an advantage


Are you: 
A development-oriented mathematician, or a math-oriented engineer
Independent, self-motivated, and auto-didactic with creative and critical thinking capabilities
A team player with excellent communication and collaboration skills

If you are passionate about machine learning and possess strong technical leadership skills, we encourage you to apply for this exciting opportunity. Join us in shaping the future of predictive analytics!


Life at LIQUiDITY
We’re global, in five locations and counting!
We’re direct and friendly – we go by an open door policy
We have set a high bar for our work
We work in an adaptable, dynamic, and fast pace environment",
https://www.linkedin.com/jobs/view/3766649367/?eBP=CwEAAAGOnv4mGvGdJFqNerK-rvTBgMiG5XzF_05HnXfHX0uiqr7y_aLlHINO6TK-yTF8tOEDmVFn8xW-7uZ4Q7_kqRdwXbJui9BYX3Ejs53XhIAkivXV3wyxPiLr1yRhWqXOcwDpqAYuk5IFGDjdAlSGF2csFadjPCiEzwFW0P_wX1TXyBBEob7W1JCPl4gjXca6I0q2nihvKZ_7RCGsluMnxtv7G8jSdm5K-fu1u2mIZ8M5wwzeYs4Q0bVuLBJa3sjvuWvpDE_6ygTn--zl-D_bYrSgN2Co9ErM77iWZDzTKcYxVR-DG2R_uZHTc94rSkfH9xB6fqdCKSHzdImA5Qi5BR8st8Pmx1MEYc0NNetWueKeKCgaA4C7_Jzw4VOO9v2T96NutccT2-QYOWt-URPwwjtr8pOU-BS4WC50uT-X9eRSOM-gzL8u8Fxm&refId=wXv0KHF%2FQdC0OtQjBKJ2LA%3D%3D&trackingId=YFEO4y%2FUKppFBAT637MrDw%3D%3D&trk=flagship3_search_srp_jobs,Software Engineer - Computer Vision Algorithms,ADASKY,,"Yoqneam Illit, North District, Israel (On-site)",4 months ago,Over 100 applicants,"About the job
In brief - software engineer with experience
We are looking for a talented Engineer to join our Computer Vision Algorithm team working on Adasky’s next generation perception stack for LWIR and sensor fusion applications. Join a motivated and creative team to bring ADASKY’s cameras to their full potential and develop cutting-edge technology using deep-learning and computer vision algorithms in the domain of autonomous cars, driver assist systems and smart cities.

Responsibilities and duties: 
Develop practical computer vision and image processing algorithms - from prototyping in Python to real-time C++ code for edge platform.
Implement SOTA methods
Profile and optimize for best accuracy & latency tradeoffs using resource sensitive architectures
Configure and support integration into the application core for various end users 
Build tools for analysis of algorithms and pipelines 
Work with various edge platforms from various vendors
Work with open source libraries
Coding is mainly in C++ & Python in a Linux environment
Work in a dynamic and fast-paced environment
Experience end to end development, from requirements to testing and deployment

Qualifications and skills: 
BSc. In Electrical Engineering or Computer Science from leading universities
At least 3 years of relevant experience in Python/C++ coding
Experience developing latency-sensitive pipelines
Advantage - knowledge of either: OpenCV, Boost, CUDA, deep learning infrastructures, etc...
Experience with Linux
Knowledge with CD/CI, git and working in a SW team on multiple projects
High proficiency in English - (work environment is in English)
Motivated, self-learner and a team player
Problem solver with can-do attitude


Position located in Yokneam",
https://www.linkedin.com/jobs/view/3817399025/?eBP=CwEAAAGOnv4mGhb2HVAbD-rAL8C6Z_S5a-J0sr0Te6ruTGRKjiWWB7QgN597-oLkLuxXDOuZ-r8dNdPNgydXhBIeg-8cKrJDHLI82Vii1239hxlc_7HIn0ppfNYEn67_LGK7Qx8no02XEZhQCNqvwZlQ0Pqr07VmYczwROzEYPTYcr5N7mIyY-dE-2GkvS2OdFvLFrFVynm0XNEECyayFMA55pa70VryCZyG_3NckcCwcsFgUD6IWX_BW5zasDGcIeHt1qBZKKRj5uGxZvY1SZigTM9pVUOjUA1SexNmG7NA2cgwAhaEE_V_j58LM2vJ6fYKHpZxbHCTA-gvxsWOfAu74hN01bFrpSzvt7Xmjgo9QA5IwI1eAJDkAP1xCBynG3ahq4QfB_j3Ssf3fNbEL9omgD_OkqRN18FteeijpmeG5gOk_un2Mt56vrU&refId=wXv0KHF%2FQdC0OtQjBKJ2LA%3D%3D&trackingId=%2F6%2Be7SitecUIkKXSxlFYKA%3D%3D&trk=flagship3_search_srp_jobs,Senior DevOps Engineer,TeraSky,,"Petah Tikva, Center District, Israel (Hybrid)",2 months ago,78 applicants,"About the job
TeraSky creates masterful solutions for customers during their digital transformation journey.
We assist our customers to migrate to the cloud, manage to-scale data center infrastructure, building software creation platforms, properly protect customers’ valuable data, and secure large-scale operations.

We are looking for a Senior DevOps Engineer with vast experience with Kubernetes and its ecosystem products or a multi-discipline system engineer. In this role, you will provide the customers with technical leadership in the design, installation, upgrade, configuration, deployment, packaging, administrative processes automation of their environment, and implementation and securing of various container-based solutions.

Responsibilities:
Conduct consulting engagements with customers
Plan, designed and built cloud-native solutions in leading Kubernetes distributions TKG, EKS, and GKE
Design and create automation processes that will improve CI/CD workflows and environment creation and configuration processes
Deploy and customize CD/CD supply chains for different customers’ needs and applications for efficient and flawless developer experience using Tanzu Application Platform
Accompaniment of transitions from traditional monolete applications to distributed container-based and immutable infrastructures
Implement complex technical solutions on-site
Write technical documents, Low-level designs, technical presentations and hands-on workshops
Create and present Knowledge transfer presentations internally and to customers

 Requirements: 
At least 4 years of experience as a DevOps engineer
Good knowledge and hands-on experience with the Linux OS
Experience in deployment and administration of complex Kubernetes environments- must
Experience in automation of administrative tasks such as infrastructure deployment, configuration management, software deployments, and creating CI/CD pipelines using at least 3 of the following technologies: Ansible/ Terraform/ Helm/ Python/ Jenkins/ Tekton/ TAP/ YTT/ Bash
Excellent English language writing and speaking skills
Demonstrated excellent communication and interpersonal skills
Ability to quickly adopt cutting-edge technologies, study and implement them with best practices, in a short time and highest quality
Ability to quickly switch between different customers and technologies
Instructing skills including preparing presentations


Nice to have:
Experience with Kubernetes-based services including ingresses, services, and Load balancers.
Experience in building/enhancing multi-tier infrastructure and services using infrastructure automation tools such as Ansible and Terraform
Familiarity with monitoring and logging tools – Prometheus, EF/LK, creating custom dashboards using Grafana and Kibana
Experience in writing low-level design and architecture documents
Experience with Kubernetes ecosystems solutions such as Vault, and Consul and service mesh solutions such as Istio
Familiarity with public cloud-managed k8s solutions – EKS and GKE
Understanding and implementation of security principles (Network policies, pod security policies, secrets management, static code inspections, run time, and pipeline inspections)

Diversity isn’t just a buzzword: People want to work where they can be themselves.
We strive to create a workplace that reflects the communities we serve, where everyone is empowered to bring their full, authentic selves to work.
We are committed to inclusivity across race, gender, ethnicity, culture, sexual orientation, age, religion, spirituality, identity, and experience.
Our culture of equality and mutual respect also helps us better understand and serve our customers in a world that is becoming more global, more diverse, and more digital every day.",
