linkedin_url,job_title,company,company_linkedin_url,location,posted_date,applicant_count,job_description,benefits
https://www.linkedin.com/jobs/view/3872941038/?eBP=CwEAAAGOpRaV9qHnX1K4Z5lUMEgdwdUcQUVVR18xaqYMz78AwXxTPNsy2_FvpJwEr5rult0PM3cWjTMaLCc0nWWk_Ww9L9oleMEG-6rv16YEXC8I-164nATj79j39R_WOvO9VVXv8luIVXVFKydj-RydZE7XC42GiMBga7THwGQKPFIU0eGFdw6-S_f8ukIoAhLcROvZfpUWSAPdQppdMbaynO6nGLXa5H9-YodolMhfsp88EAKv8MA9tJn6S--VGaI1mq5YpliFWmLenRNuN7sa2aOVyGeAAYxJ_XftFyxwjI3vqQH0KrG9N89jfDzdnRYciYGtGSPhIfzvQzCOWPuWeem6mlY5yBucFnztFkD9EIF30gPF8bIkAphOCIOp_FQjwaviKRv26nlNIwbBR3FrH-eBpzRjXJqjPBONbJwvElktEpNrUE5TkQ&refId=M6QjtrXdfh9unIdIBQok9Q%3D%3D&trackingId=5aCDVVq26MpHsSyDGSYWRA%3D%3D&trk=flagship3_search_srp_jobs,Senior Computer Vision Research Engineer,DYNAMIC INFRASTRUCTURE,,"Emek Hefer Regional Council, Center District, Israel (On-site)",Reposted 3 days ago,47 applicants,"About the job
About Us: Dynamic Infrastructure is pioneering the field of infrastructure analysis using cutting-edge computer vision, NLP and machine learning technologies. We are dedicated to transforming complex data into actionable insights, driving innovation in infrastructure monitoring and maintenance.

Location: Emek-Hefer, Merkaz

Job Overview: As a Senior Computer Vision Research Engineer, you will be at the forefront of developing innovative computer vision solutions for civil infrastructure analysis. This role demands a unique combination of technical expertise in computer vision, a proactive approach to project ownership, and the ability to communicate complex ideas effectively. Your work will be instrumental in enhancing the safety, efficiency, and maintenance of infrastructure leveraging a spectrum of techniques to drive innovation and practical results.

Key Responsibilities:
1. Develop and implement advanced computer vision algorithms tailored for infrastructure analysis.
2. Lead projects from concept through to production, ensuring seamless integration of AI solutions into our product offerings.
3. Collaborate with cross-functional teams to understand infrastructure challenges and develop effective AI-driven solutions.
4. Manage the entire data lifecycle, including collection, cleaning, preprocessing, and analysis.
5. Generate insights that inform product development and innovation.
6. Communicate technical concepts effectively to diverse stakeholders.
7. Adapt to new challenges in the evolving field of computer vision and infrastructure analysis.

Qualifications:
1. M.Sc. in CS, Math, Engineering, or a related analytical field. A Ph.D. is an advantage.
2. Proven experience in developing computer vision algorithms, preferably in the context of object detection/segmentation and image registration.
3. Proficiency (5+ years) in Python and experience with computer vision frameworks and libraries such as OpenCV, PyTorch, or Tensorflow.
4. Demonstrated ability to lead projects independently and drive them to completion.
5. Hands-on experience developing and deploying machine learning models into production.
6. Familiarity with cloud-based solutions, particularly SaaS platforms and AWS environments.
7. Excellent communication skills, capable of explaining complex technical ideas in simple terms.
8. Eagerness to embrace new challenges and continuously learn in the field of data science.
9. Hands-on experience with Docker and Kubernetes - advantage.
10. Experience with photogrammetry, 3D models and point clouds - advantage.
11. Publications, patents, contributions to the AI community - advantage.
We understand that no candidate will be perfectly suited to every qualification listed. Therefore, if you meet a majority of the criteria and are enthusiastic about the role, we encourage you to apply.

What We Offer:
· A dynamic and innovative work environment at the forefront of AI and infrastructure technology.
· The opportunity to work on challenging projects with real-world impact.
· Competitive compensation and benefits.
· Opportunities for professional growth and development.",
https://www.linkedin.com/jobs/view/3864968981/?eBP=CwEAAAGOpRaV9mXyzfhcYeoVII3Vs9siYS33AnvWMEGOrdU5UCJBhNxqVVHvzAkLyrUBDs0qa-yLa_1lzMOQYqAhzkFfAPlW0Aoy6RmfmAQYJBff7lAicxninBZF8to9W5_t3wVI1esQDvYHgt_8EzCvbJCeQYKrXtUGy_FJKb7GDJ0GsftK-cWp6yXv08x2laEt09e-WlbnbQI4T700NtsD4erd2VjsQUa1LtqvEoLBTXCTgcUP0Z5DPRhEf_TvfTI8B0ArH_TsYC4a2maS1IR020qxPuHqM0nOGqNqyN8_4PIIFLiMzJFasRKi-CfiWcYihcx-2yi3zstdJNF4N_IkQbLhzf9gj1KLqDzXIg0iQBfXfpxO3_oMv7QHI6ETMYxH3CDT-VL4L9XNnkANDhERGgRmvQ&refId=M6QjtrXdfh9unIdIBQok9Q%3D%3D&trackingId=NFkseYOqPmSa9OBgyqF%2Bww%3D%3D&trk=flagship3_search_srp_jobs,Senior Frontend Developer,Medulla,,"Tel Aviv District, Israel (On-site)",2 weeks ago,Over 100 applicants,"About the job
דרוש/ה Frontend developer
לחברת סטארט אפ שמפתחת מוצר למיפוי תת קרקע לצרכים שונים ושווקים שונים - החברה שמה לעצמה מטרה לשנות את עולם המיפוי התת קרקעי לכל צורך שנדרש, מתשתיות, דרך סקרי קרקע, חלקאות, ארכיאולוגיה ועד חיפוש מינרלים, נפט ומים.

יושבים בתל אביב, קרוב לרכבת, נמצאים אחר גיוס כספים רציני ביותר! ונמצאים במגמה של גדילה וצמיחה משמעותית. זמן מעולה להצטרף לחברה!!



דרישות:
- לפחות 5 שנות ניסיון בפיתוח frontend - חובה
ניסיון משמעותי עם React - חובה
- ניסיון בעבודה עם AWS- חובה
ניסיון בפיתוח Fullstack - יתרון
ניסיון ב Python - יתרון",
https://www.linkedin.com/jobs/view/3811182778/?eBP=CwEAAAGOpRaV9n3Si-M9AD0ZFMJfdeCyHCJFkOPxZVDabLpL0x70j72kzEAYvzON8w9IA1ytM-Vh_LyJ-aPULwVB5UsvIPQahiTLpesygRNP_Pu0l3-9ZhDglvvnjqcGM_i5MCD0jjBLRbFWgarevLaxuRyZriDlG4RcNNm1ao39sxaQ-6BLlv3bCRBMR7B4dN4KQwabQSaqKO_DD8LlcnfrjKEIr2hr84GsnX0wljlY6JjrhZHQqvHNOeVooUBlhA83NJsFv-HMJ6rYHrCulS7ACgoeQNXDLEIeuaUe7He9uAk6nPKJFRRJflu8oTN3i4XUqiyJr6tSJm9Hv99pupiYtf4w4oFydmEkXReX81sfbXe28Q-XV7CjMbhjWWRvIv__-2W198RCSrlecRejQoNWmz91gRwNTwjdt6xqIRLsYKmx788-mLVJiw&refId=M6QjtrXdfh9unIdIBQok9Q%3D%3D&trackingId=i%2BRA%2BqFPDxGS%2BObFOItKHw%3D%3D&trk=flagship3_search_srp_jobs,Senior Full Stack Developer,PROFTIT,,"Bnei Brak, Tel Aviv District, Israel (Hybrid)",2 months ago,Over 100 applicants,"About the job
PROFTIT, an international company that provides unique management software for the Finance industry, enables businesses to create extraordinary customer relationships with the most innovative, flexible, and affordable CRM solution in the market.
We’re located in Bnei-Brak (Allied Tower).

We’re looking for a Full stack Developer (Frontend-Oriented) with experience in AngularJS and deep understanding of reactive programming, functional-based programming, and JavaScript, who’s experienced in Web DOM intricacies.

Your Role
● Develop new features in an existing JavaScript CRM application, Based on rxjs and component programming.
● Refactor and contribute to the ongoing framework upgrade.
● Learn new technologies and patterns and contribute your knowledge to improve the application
● Developing new AngularJS application features. Building unit tests along with the code.
● Refactoring screens to clean components and refactoring logic to separate utilities functions packages.
● Working with git and pull requests for development flow Agile development cycles that include short daily-meetings and sprints of several weeks which include QA deployment and fixing.
● Working alongside the PM and QA and Backend, bringing your features as smooth as possible to completion.
● Learning and investigating technologies and open-source projects that are used or will be used in the project.
● Create and maintain comprehensive project documentation

Our Stack
AngularJS, React, RxJS, Typescript, Lodash/FP, Lerna
PHP, Python, NodeJS, Elastic Search,
Webpack, Karma & Mocha, Git, Kubernetes and Docker, Laravel

Requirements: 

 • 3+ years of experience in at least one of the following component frameworks:
Front: AngularJS- Must
Angular, React, Vue- Advantage.
Back: PHP- Advantage
• Deep and extensive understanding of component lifecycles, change detection. mechanisms and different state keeping methods.
• Experience in Reactive programming like RxJS, including different stream compositing and patterns – an advantage.
• Deep understanding of ES6-8. Knowledge of Babel and JavaScript Polyfills.
• Experience in webpack or other build tools (rollup, parcel).
• Extensive knowledge (over 2 years) in programming without libraries or with jQuery – an advantage.
• Experience in developing a project from scratch (self or work) for 1-2 years – an advantage.
• Profound experience in developing PHP web applications based on Laravel (2-3 years)
• Deep understanding what is object-oriented programming and how it should be used.
• Experience using PHP to create and consume web services (REST)
• Working with docker-compose above docker - advantage
• Elastic Search - big advantage
• Redis - advantage
• Source control with Git - advantage",
https://www.linkedin.com/jobs/view/3855486951/?eBP=CwEAAAGOpRaV9rt2hO6Vg_hTcgaZjOwW8s3EuDNwC2rsjIHr82uoIBvSWHcj_4C5U3msz4VLFGlpym0KWu6fbwSTrBBQT40DpxIT44hXFDPYgJqz64i-6ltO5AI66JREVi3e_XjqMlMP-cmj-AZCkxydHcJa6cVfb3qbFxkchyDc3bBersTAhAFITFtVLI-Rzpr72fJsyrr4Jnn_z60R88G8JBZbUYdkfvQUEDRY2HFKqPKh5-WN_BOdCeir-nJHRtHBz3iYK_2G9IjFMi2gCwVVU7o0w4p_aa0K2TO_ThO0og0pNDRLBKYrOLJcL8kEipZiC5QWXF1OWjtRNdU4Ri_B3JuI4qAhinAdm3OrJw7YdDfpqPemlOw40yBTDlX4EF0REDVw13BggyenfjhfgDEPrkzZbQ&refId=M6QjtrXdfh9unIdIBQok9Q%3D%3D&trackingId=eBOcPbd3nmoF7KSda90g5Q%3D%3D&trk=flagship3_search_srp_jobs,"Software Engineer, Metadata",Firebolt,,"Tel Aviv District, Israel (Hybrid)",2 weeks ago,Over 100 applicants,"About the job
Who we are:

Firebolt is at the forefront of data analytics, offering cutting-edge cloud data warehouse solutions. Our innovative technology is designed to handle the most complex data challenges, providing unmatched speed and efficiency. Join us in our mission to revolutionize data analytics and help businesses unlock the full potential of their data.

About the Team:

Firebolt’s Metadata Team is responsible for components within the data warehouse that provide metadata information for firebolt control & dataplane. Aside from “user data”, Firebolt keeps meta-information to make user data accessible and useful. The challenge of the Metadata team is to hold this data and serve it with low latency in an ACID compliant way. We're solving challenges around high scalability, concurrency and performance, like implementing distributed transactions and snapshot isolation.

Roles and Responsibilities:

Take part in the definition of Firebolt’s product design and architecture
Design, build, and maintain Firebolt’s cutting-edge metadata solution
Work closely with other Firebolt teams to provide a seamless data experience

Requirements: 

3+ years as a backend engineer with at least 1.5 year using Go in production
Production experience with Kubernetes
Hands on experience in building and operating cloud native applications on AWS, GCP or Azure
Strong Linux fundamentals and an understanding of networking, including a variety of network protocols, especially AWS networking
Experience building and operating highly concurrent, highly available, and fault-tolerant distributed systems
Expertise in Algorithms, Data Structures, Concurrency and Design Patterns

A bonus if you have: 

Familiarity with databases such as FoundationDB, Aerospike or any high-performance KV-store
Familiarity with distributed computing, networking, lockless algorithms and data structures
Experience with message brokers and data/ stream processing (Kafka, RabbitMQ)",
https://www.linkedin.com/jobs/view/3861518896/?eBP=CwEAAAGOpRaV9jhOmlEzWby2BusKWMJDS1DkZvCQ3kuUI8OZtNSYyOzs9uXVv890BHBXqQu2SGM04gZaknXmPa7Y5L9Ig5OZU3_OtIaIcUwaoO0F-PqHu1dBOxT1B2sMverMpbxQGO1W9AxeJB8zSGKRz8OnXGVBjgNxQhq26a6wV45wQMuhmrCTITAMXCasY3mercxQK1Xm04Wq7Zj65X9QzwW1U7qGtuSqJT4izia_kt9JQe497azxDn8dpTrpC5PY7rm7Wtq3sbphWaVl2OaAGNIUH3PUXSM2L-8RClEuAd2_3XsZ4CoXqUX2_0bN8RcTpbqn6bb5myCqksGKNW3sc1YxfX8LvyiKFf6PA56BirwmR_mrLrHtbbPcL7ztWGrfp8-FjkpOwq6tyrGOEGDoFTLMEw&refId=M6QjtrXdfh9unIdIBQok9Q%3D%3D&trackingId=L3DWi9t6vJyTYfdZdx38oA%3D%3D&trk=flagship3_search_srp_jobs,.NET Engineer,Genpact,,"Netanya, Center District, Israel (Hybrid)",2 weeks ago,Over 100 applicants,"About the job
With a startup spirit and 115,000 + curious and courageous minds, we have the expertise to go deep with the world’s biggest brands—and we have fun doing it! We dream in digital, dare in reality, and reinvent the ways companies work to make an impact far bigger than just our bottom line. We’re harnessing the power of technology and humanity to create meaningful transformation that moves us forward in our pursuit of a world that works better for people.
Now, we’re calling upon the thinkers and doers, those with a natural curiosity and a hunger to keep learning, keep growing. People who thrive on fearlessly experimenting, seizing opportunities, and pushing boundaries to turn our vision into reality. And as you help us create a better world, we will help you build your own intellectual firepower.

Welcome to the relentless pursuit of better.

Inviting applications for the role of .NET Engineer, R&D
In this role, you will analyze, design, and develop our new SaaS multi-cloud orchestration platform, targeted at the company’s next generation of powered by GenAI cloud-based solutions. Take part in feature development from the requirement definition stage to the final deliverable.

Responsibilities
· Research directions for future technologies and product architecture.
· Design, develop, and unit test solutions according to established standards.
· Participate in peer reviews of solution designs and related code.
· Collaborate with internal teams to help grow an engineering team and build an efficient process-driven engineering machine that can expand at a rapid pace when and where needed.
· Mentor and grow team engineers by creating and implementing best practices and establishing a suitable protocol that ensures code quality and productivity.
· Work closely with the R&D Manager to create a roadmap that supports our evolving products and organize work effectively.

Qualifications we seek in you:
· Over five years of experience in product-based companies.
· Exceptionally strong knowledge of design patterns and enterprise architectural patterns.
· Have an exceptionally strong knowledge and experience in core Microsoft .NET technologies (.NET framework / .NET Core).
· Proven knowledge of C# with deep understanding of internals and language features.
· Experience with containers and orchestration tools (for example, Dockers and Kubernetes).
· Experience working with relational and non-relational databases, key-value, and document stores (for example, SQL, PostgreSQL, MariaDB, MongoDB, and Elasticsearch).
· Experience working with message brokers (for example, RabbitMQ, ActiveMQ, and Apache Kafka).",
https://www.linkedin.com/jobs/view/3778505988/?eBP=CwEAAAGOpRaV9g9p3GLhflQp7mvYipx22zx66PnynS-y4phQvrSEX3Yggc58ijmLThYpqPpyXYVVOiujizARBfGHX1WwQICnWif7fB4950GbU3bascfv6sw7HOy4QdGSX0aiJazRi_RZHMUkilWZoWVmx5pu5-wo0Dnh2Jl8h1FgK3Qwe-0jGtUzo4qLx669n8c6Tqfu-aqFB-Yz2ycOfaXOoEpeRUqWZQi8ltBsFIchlkxW5jcmMM-k_8chCDiPjof1FJTwsii43KkCTKWO8cjnLkWir5QRgGG8ksody43xRNS0ojZAfIrS1VD8ab9UTJlIiECeiwzrspc-m4Q0VhZzCM9QVIk77MGAXPPYq7iD5Y7_aY_5o_R2fJU45ghSflKzbjN7_4xTaZ4SFFIqTb0IYDBej_ZVp-rSlF8DIvyYhTU4TzS0G9sYvA&refId=M6QjtrXdfh9unIdIBQok9Q%3D%3D&trackingId=Y9OMzpVGf0sVsCfBiXnG%2Bg%3D%3D&trk=flagship3_search_srp_jobs,Senior Software Developer - Haifa,Netoplay,,"Haifa District, Israel (On-site)",4 months ago,Over 100 applicants,"About the job
Netoplay, a leading provider of solutions and services for iGaming operators, is looking for a great Senior PHP Developer to take part in the creation of an innovative gaming platform.

If you’re highly experienced, ambitious PHP Developer looking for a challenging role where you can learn lots more, passionate about technology, constantly seeking to learn and improve skill set, then you are the type of person we are looking for!

We are offering superb career growth opportunities, great compensation and benefits.

requirements and qualifications:

· 6+ years overall experience as a software developer - MUST
· At least 3 years of PHP HO development - MUST
· At least 3 years of JavaScript, CSS & HTML5 – MUST
· At least 2 years working with code versioning tools e.g. Git or Gitlab - MUST
· At least 2 years with SQL databases – MUST
· Excellent English communication skills, including comfort with speaking and formal writing - MUST
· Experienced as developer from A product-based company is a huge advantage
· Knowledge of Vue.js/Ember.js is an advantage
· Experience with Laravel or Yii is an advantage
· A real team player

What We Offer:

· The opportunity to make a huge impact on our product line
· The chance to work with state-of-the-art technologies
· A dynamic workplace and being part of a talented, passionate, and international team",
https://www.linkedin.com/jobs/view/3850925813/?eBP=CwEAAAGOpRaV9l80Xe_zaptQK7feJLQGgZaiSRCc-Tt6fZrlwOZNXLTF6uO9aSkC9bM192X4kjWIo4-dTaQRok5RCxWMnf-m_cUusVCL1I24Y_0v7WSgrvpNf5n2fcM7IgwrtHsix-o-FJhOMEHp17onPirX9froU0GAqldB_KgnTBUUIQFlxWUXGmn1MuuXja43fDuQ7L7_e_hMOgAEymvFZJRjfyShMr2IH6YhDIp6INhZDGK5h5G4RNvT1p0YyZnogdcdGZ7o4zzu3f24pRsKkQubxtmX-l_aAWf-IlTbg0s0lzF-YwnExQcUm5osWEouy7vsrYGL2T9okQ3LSesSQH_2wPhntvo94_fPj2R5X9ioVWDFzHaLutX2UVKdClJET4z7niSvsfqMIlwxUvR-2scN-cTr&refId=M6QjtrXdfh9unIdIBQok9Q%3D%3D&trackingId=gcpkeuXB7pm2Nh7PAM0ONQ%3D%3D&trk=flagship3_search_srp_jobs,Principal Software Engineer,Prisma Photonics,,"Tel Aviv District, Israel (On-site)",,43 applicants,"About the job
Prisma Photonics, a fast-growing startup, transforms infrastructure monitoring with optical fibers. We eliminate the need for extra sensors by offering sensor-free solutions to monitor electrical power grids and oil & gas pipelines across thousands of kilometers.

Our fiber-sensing technology, integrated with AI and machine learning, enables our customers to achieve environmental and renewable energy targets, ensuring smooth utility operations on their path to net-zero emissions.

We are looking for the best minds and spirits to join us in our journey. We know our product is only as great as the individuals building the hardware and software and harnessing data for good causes. Being a great team member means being eager to learn and grow, able to challenge while accepting being challenged, and working for the team and the product with enthusiasm and passion.

We are now hiring a skilled Principal Software Engineer to take a meaningful part in overcoming the company’s challenges while maintaining a professional work methodology.

 Responsibilities:
Software Design, development, testing, deployment, maintenance, and improvement.
Leading and collaborating with colleagues and internal customers on technical challenges.
Troubleshoot system issues and provide quick and thorough solutions.
Maintain high standards of software quality by defining and mentoring developers to use best practices and processes.

 Requirements:
BSc. in computer science or equivalent related area. 
~10 years of experience in Backend and System software development.
Highly proficient in both C++ and Python.
Excellent English communication skills, both verbal and written.
Experience in hands-on technical leading and architecture of software development efforts.

Advantages:
Familiarity with CI/CD, DevOps, and testing tools.
Experience in multiple types of software environments: cloud computing - AWS; data engineering; low-level programming (embedded / hardware integration); high performance and code optimizations; algorithms implementation; micro-services architecture; GPU accelerated programming (CUDA).",
https://www.linkedin.com/jobs/view/3800422996/?eBP=CwEAAAGOpRaV9kN7X3p1bIwN-OtZueU2fbMoJnJoblNFIiQaM83BBWey3VNLQgFJWjTz3ZNEQq1dZtTac8dtr8MXVFnacMCf5_gd3RuZX77AOkdafzzgdUE4lwmgzTAsghw7J3LaRPuVIT8O88C-6L5gxOFHFIf6R6i-9Hq-OtS4hjpSFkCcZl3SCW3RUeBKZ-6oTkhpVlCt5pQy58msM30ZgFdmrvH60i8CtunlnMwe20Sk7zvtt5QmK0dYNByLR8ILUxuj8UNSJH8lA62jh-dvYyEfiBro3QDlioBbKaVFBg1zYJPyMY2PEyCt5zLXyOxUXsXDMs5EPPXeXze8vvCSrlLEhTl1dyyITmcq3gXVlqep2JrVCl0gA5FWsySIB_X2hVlMv50hSjBR9wNYxC1Sdv6OXI3hS41FChYlTymm7ltOYjE9j1VeypQ&refId=M6QjtrXdfh9unIdIBQok9Q%3D%3D&trackingId=xb0thrXRUL8LDue2STv3Bg%3D%3D&trk=flagship3_search_srp_jobs,Senior Embedded Software Engineer,Neuray Labs,,"Herzliya, Tel Aviv District, Israel (Hybrid)",2 months ago,Over 100 applicants,"About the job
About Company & Role 
neuRay Labs is an innovative company in the worlds of AI and sensor fusion, especially of radar & electro-optics sensors. Our goal is to revolutionize radar signal processing schemes in AI by leveraging visual information in order to obtain never seen before performance.
As an Embedded/Radar DSP Engineer, you will develop software for embedded products which involves interfacing and communicating with various microcontrollers, sensors, and external devices. The ideal candidate would be fully proficient with the life cycle (SDLC) of developing embedded products.
What You'll Do
Plan, design & develop software for various radar based embedded products.
Implement and optimize various DSP algorithms for radar sensors.
Devise and implement communication protocols between our embedded products and external devices.
Cooperate with the AI group to integrate Deep Learning algorithms within embedded products.
Qualifications
B.Sc. in Electrical Engineering or another relevant scientific degree.
5+ years of experience in Embedded Software development (C/C++)
Experience with ARM architecture, system peripherals and low-level hardware protocols.
Experience with embedded software development in RTOS environment for ARM processors.
Knowledge of networking and communication protocols.
Experience with performance / limited memory sensitive programming.
Experience working in Linux environments.
Proactive, can-do attitude and self-management skills.
Excellent verbal communication skills, problem solving skills and attention to details.
Advantages
Experience with Python.
Experience with DSP.
Experience with Radar.
Good familiarity with FreeRTOS / TI-RTOS.
Familiarity with Machine Learning / Deep Learning / Computer Vision.
Familiarity with CI\CD.",
https://www.linkedin.com/jobs/view/3872952172/?eBP=CwEAAAGOpRaV9vFHthI6Tc1oFeUrLfJl89MbHPtKUZm4ByMyT2X3WafN4BWk7F77K2BMQoVcnknpWXNUTnJdnvOsVaMFgvztezbT72RqJykXEPwjt8p0vqYVX40o3vI_4SwDheJKvBOiNSGjvUuzqqAblDgA6eufLKcMLpJVJGBA39xANdOOG5pB0OhQ09GhgbNFEqnE_p6v4SQdb8AhbWYQwIS-J1eeM73TuPWCgGpQbfdLFtglFIrwK9vrzeub_xUV7Mvh2NfnlBqm54IFM9HuvoEYgzks7ICm1JY6HQbfd9-IexaSZ96619POjbTWtPyzZALDeAECo2DSEpaWyNqosnqAwpc6jVibyBatWcdQJeG8-zY4hv2vkQP2ysfgagj9IKpvXP4FSMFdgAaVkjSs2XCcyOmY243KQ-7HHMKKCmsp4QUSGqT_y78&refId=M6QjtrXdfh9unIdIBQok9Q%3D%3D&trackingId=DTXuw6SIySsdlwHqnXKWLg%3D%3D&trk=flagship3_search_srp_jobs,Full Stack Engineer,Flex Storage Inc.,,"Tel Aviv-Yafo, Tel Aviv District, Israel (On-site)",6 days ago,Over 100 applicants,"About the job
Flex Storage Inc., an established and well-funded start-up specializing in self-storage services, is currently seeking a highly skilled and experienced Full-Stack Developer to join our dynamic and innovative Israeli team in Tel-Aviv.
As a Full-Stack Developer, you will be responsible for both Node JS backend and Angular 15 frontend development, contributing to a complex and groundbreaking technological project. Your work will directly impact the success of our company and contribute to our mission of revolutionizing the self-storage industry.
This position is a key role within our organization, reporting directly to the Chief Technology Officer (CTO). It offers significant growth potential, with the opportunity to eventually advance to a Team Leader position.
 Key Responsibilities:
Collaborate with the team to develop and maintain the Node JS backend and ReactJS/Angular (latest) frontend components of our innovative project.
Contribute to the design, development, and implementation of new features and functionalities.
Ensure the scalability, performance, and security of the applications.
 Requirements and Qualifications:
Demonstrated experience as a Full-Stack JavaScript Developer for a minimum of 3 years.
Strong interpersonal skills and the ability to work effectively within a team environment.
Self-motivated, reliable, and capable of working independently when required.
 Advantages:
Experience with Docker, GIT, and MongoDB.
Proficiency in working with Google Cloud technologies.
 Join us in shaping the future of self-storage services and be part of an exciting journey with tremendous growth potential. If you meet the qualifications and are passionate about cutting-edge technology and innovation, we look forward to hearing from you.",
https://www.linkedin.com/jobs/view/3873201391/?eBP=CwEAAAGOpRaV9qEFMt2LXYV8R5_b-RRiyu5F9KkRfL0a4PHH-sB1BClRwynllx7tk-VVTGxtVD8JVIkObDJVF_ApG-hPUKyPNprNK5FiFpSxmOk46YmMrp2MGk4nP0Nuw0jNZy39V8N115MAJZYtei8zYBK9vTVNdWTcJap6DuL8DbxtVUXpIMTHYlTn1m0cFiFLKReLSN9FukeMuQ3bluAFJeYnQVX48oEtXugdWTFtA910vRU6tgYlGQXhIRAHMFLoD4L0qwnfHHFdifHjOmB-i_2BOrM36wfho0GxikwTjvO1kZBoDu7e9f2O3fo2wh0qBn9kBm-tPXPLb8_I9ZUNglC9wSSxubGm_3MSF3B2b43TasLooq5b6ztsZshw5LyfdVqWL5xrQBh2bNLyupR8sZCtGEgDH5_bGjhqh91clgzHvxY2I3LLj2g&refId=M6QjtrXdfh9unIdIBQok9Q%3D%3D&trackingId=WM0TOW4I6ezAgRmMAOZF0g%3D%3D&trk=flagship3_search_srp_jobs,Senior Software Engineer,Nyxoah,,"Tel Aviv District, Israel (On-site)",,58 applicants,"About the job
The ideal candidate is responsible for designing, developing, and testing embedded software solutions for various hardware platforms. He will collaborate with cross-functional teams to deliver high-quality, reliable, and efficient embedded software solutions that meet the requirements of our products.

Responsibilities
Lead the design, implementation, and ongoing enhancement of both new and existing firmware.
Actively engage in the coding, testing, debugging, and validation processes to ensure exceptional product quality.
Develop comprehensive technical documentation, reports, and training content in line with medical industry standards.
Offer mentorship and technical oversight to team members, fostering a culture of excellence and collaboration.
Efficiently manage external software development partners and subcontractors.

Qualifications
Bachelor’s degree in Software Engineering, Electrical Engineering, or a related field, plus at least 8 years of experience in embedded systems development.
Proficient in developing firmware in C for various microcontrollers and embedded processors.
Experience with real-time development on Nordic microcontrollers will be considered a significant asset.
A strong grasp of various software development methodologies and design patterns.
Proficiency in Linux/Unix development is preferred.
Experience with regulatory standards for medical software development (FDA, IEC) is highly desirable.
Leadership history in managing iOS/Android development projects is a plus.
Knowledgeable in embedded communication protocols such as SPI, I2C, UART, USB, and Bluetooth.
Understanding hardware components and the ability to interpret technical documents like schematics and datasheets is beneficial.
Familiarity with cloud infrastructure and adept at defining cloud-based projects.
An aptitude for software architecture and design.",
